x1,x2,x3,x4,x5,x6,label
7,6,2,90,0,4,0
13,44,1,65,2,1,1
5,19,2,72,0,5,1
20,31,1,37,2,3,0
10,19,2,83,1,1,0
16,49,1,38,1,6,1
9,1,2,90,1,2,1
14,49,1,39,1,5,1
19,60,1,59,2,5,1
25,86,0,19,2,5,1
19,41,1,65,1,6,1
27,99,0,4,1,0,1
6,5,2,87,0,1,0
20,35,1,58,2,0,1
24,61,0,13,1,3,0
15,54,1,43,1,6,0
15,59,1,55,1,6,1
22,68,0,23,2,4,1
27,66,0,10,1,4,0
15,48,1,61,1,6,1
3,19,2,96,1,5,0
2,29,2,81,1,4,0
20,58,1,26,2,6,1
14,46,1,63,2,6,0
13,60,1,53,2,6,1
21,64,0,4,1,6,0
24,71,0,20,2,7,0
24,96,0,21,2,7,0
6,12,2,74,0,3,1
8,10,2,79,1,4,0
24,98,0,22,2,7,1
12,54,1,34,1,6,1
22,73,0,8,1,7,0
10,14,2,80,0,1,1
16,30,1,65,2,0,1
22,91,0,13,1,4,1
8,30,2,84,0,1,1
10,5,2,90,0,6,1
10,11,2,95,1,1,0
10,6,2,95,1,6,1
13,38,1,48,1,2,0
29,70,0,18,1,6,0
9,9,2,83,0,6,0
10,31,1,72,2,0,0
15,50,1,50,2,5,1
20,77,0,14,1,7,0
20,71,0,19,2,5,0
20,98,0,21,1,7,0
7,17,2,74,0,6,0
15,48,1,64,1,5,0
17,59,1,42,2,0,1
30,61,0,3,2,8,1
18,56,1,30,2,7,0
12,39,1,59,2,0,1
18,58,1,43,2,7,0
19,60,1,59,2,5,0
25,97,0,17,1,4,0
20,72,0,13,2,7,1
18,37,1,66,1,7,0
27,87,0,12,2,2,1
20,80,0,7,1,6,1
29,87,0,16,2,8,0
20,41,1,29,2,4,1
11,44,1,26,1,5,0
10,30,2,75,1,1,0
2,30,2,82,0,1,1
28,83,0,7,2,5,1
5,5,2,80,1,0,0
5,21,2,96,0,6,0
17,31,1,26,2,4,1
20,30,1,45,2,0,1
26,76,0,14,1,0,1
16,38,1,24,1,7,1
15,32,1,27,1,6,0
20,36,1,62,1,5,0
16,49,1,27,1,7,0
16,52,1,37,2,7,0
18,37,1,30,1,2,0
30,84,0,3,2,4,0
16,34,1,61,1,7,0
16,51,1,59,2,7,0
16,56,1,60,1,7,0
25,85,0,13,1,7,1
4,9,2,86,0,6,0
2,16,2,81,0,4,0
27,79,0,21,2,8,0
27,84,0,20,1,8,0
4,25,2,73,0,6,0
25,81,0,6,2,4,0
15,41,1,33,2,4,1
2,14,2,84,0,2,1
11,46,1,53,2,0,0
1,6,2,79,1,5,0
30,92,0,9,2,6,0
30,76,0,11,1,4,0
22,75,0,23,2,1,0
20,60,1,45,2,3,0
9,6,2,83,1,3,0
30,97,0,22,1,2,0
15,56,1,37,1,7,0
15,45,1,57,1,7,0
28,80,0,22,2,0,0
26,69,0,5,1,0,0
18,48,1,38,1,3,0
27,87,0,14,1,5,0
13,41,1,66,1,6,0
29,78,0,12,2,2,0
10,21,2,73,0,3,0
10,14,2,80,0,1,1
6,10,2,88,0,5,0
25,100,0,19,1,0,0
8,19,2,90,1,1,0
3,29,2,77,1,6,0
9,18,2,85,0,2,0
15,44,1,28,2,5,0
5,21,2,73,1,6,0
1,11,2,90,1,0,1
15,38,1,36,2,1,0
20,94,0,11,1,3,0
27,86,0,19,2,8,0
29,63,0,10,1,0,1
27,72,0,9,2,0,0
27,88,0,17,2,0,1
26,89,0,1,2,0,1
17,31,1,26,2,0,1
27,86,0,4,2,1,1
25,62,0,1,2,1,0
13,57,1,58,1,0,1
24,70,0,8,1,1,1
9,5,2,94,0,0,1
22,83,0,12,2,1,1
18,58,1,40,1,1,1
29,72,0,9,1,2,0
28,62,0,20,2,2,1
4,15,2,81,1,0,1
27,66,0,22,2,2,0
28,89,0,21,2,0,1
27,86,0,18,2,2,1
14,60,1,61,2,1,1
25,80,0,15,2,2,1
11,35,1,39,2,1,1
10,34,1,58,2,1,1
10,27,2,80,1,1,1
14,60,1,61,2,1,1
21,65,0,2,1,2,1
9,21,2,88,0,1,0
20,94,0,20,1,2,0
29,98,0,13,1,3,1
17,44,1,51,2,2,1
10,43,1,66,1,1,1
28,84,0,9,1,3,1
28,91,0,24,2,3,0
13,35,1,61,2,2,1
26,96,0,16,1,1,1
23,74,0,6,2,3,1
11,52,1,59,2,2,1
22,61,0,24,1,3,1
20,69,0,5,2,3,1
20,35,1,39,2,3,0
6,16,2,86,1,2,1
29,95,0,24,2,4,1
15,59,1,47,1,3,1
3,2,2,93,1,2,1
3,26,2,96,1,2,0
2,3,2,77,1,2,0
25,81,0,4,1,4,1
25,73,0,22,2,4,1
27,67,0,11,1,0,1
20,47,1,26,1,2,1
18,52,1,40,2,2,1
10,10,2,81,0,3,1
20,32,1,72,2,2,1
10,35,1,67,2,3,1
7,20,2,89,1,3,1
14,30,1,68,2,0,0
11,53,1,50,2,2,1
25,98,0,14,2,2,0
23,62,0,19,1,4,1
17,54,1,34,2,4,1
17,49,1,41,2,4,1
17,36,1,71,1,4,1
28,82,0,14,2,5,1
23,88,0,5,2,1,1
4,10,2,93,1,3,1
22,97,0,23,1,2,1
6,4,2,83,0,2,1
14,49,1,24,2,2,1
26,74,0,7,2,5,0
2,17,2,96,1,3,0
12,60,1,54,1,4,1
13,33,1,49,1,2,1
1,7,2,76,0,2,1
15,30,1,45,2,2,1
11,48,1,67,2,4,1
7,27,2,86,1,3,1
6,26,2,85,0,3,1
1,21,2,82,0,1,1
27,100,0,22,2,4,1
24,66,0,3,2,5,0
16,43,1,27,1,2,0
22,60,0,4,1,5,0
10,20,2,82,1,4,1
10,19,2,93,1,4,1
7,27,2,91,0,1,1
5,21,2,80,1,2,1
28,72,0,24,1,2,0
20,48,1,51,1,5,1
19,52,1,54,1,5,1
18,57,1,29,2,0,1
18,34,1,25,1,5,1
6,10,2,78,0,4,0
28,100,0,3,1,6,1
17,54,1,31,2,4,0
28,87,0,11,1,6,1
16,52,1,42,1,3,1
12,32,1,72,1,4,1
16,49,1,53,1,5,1
16,38,1,64,1,5,1
16,38,1,62,1,2,1
3,5,2,80,1,4,0
2,19,2,85,1,4,1
23,78,0,10,1,4,1
23,93,0,4,2,1,1
2,12,2,91,1,4,1
28,90,0,3,2,3,1
3,13,2,93,0,4,1
10,57,1,37,2,2,1
22,99,0,3,2,2,0
25,88,0,18,1,6,1
13,53,1,66,1,5,0
16,59,1,65,1,5,1
1,16,2,95,1,4,1
23,85,0,2,1,4,1
19,60,1,57,1,4,1
16,44,1,58,2,1,1
25,85,0,15,1,0,0
1,5,2,92,0,0,1
30,78,0,17,1,0,1
15,54,1,56,1,3,1
1,6,2,90,1,4,1
24,68,0,11,1,6,1
23,99,0,8,2,1,0
3,27,2,86,1,0,1
24,77,0,17,2,6,1
23,77,0,20,2,6,1
11,50,1,59,2,5,1
21,67,0,0,2,5,0
15,51,1,47,1,0,0
15,43,1,72,2,0,1
22,84,0,12,2,6,1
21,72,0,24,2,1,1
5,15,2,78,0,1,0
10,35,1,51,1,5,0
10,28,2,78,0,5,1
7,2,2,95,0,5,0
6,9,2,78,1,5,1
6,29,2,77,1,5,1
4,18,2,86,0,0,1
18,36,1,43,1,1,0
27,85,0,1,2,3,1
15,30,1,29,1,3,1
17,39,1,37,1,6,1
17,37,1,70,1,6,0
24,74,0,20,1,5,1
9,8,2,82,0,4,1
8,22,2,77,1,3,0
21,68,0,10,1,5,1
5,29,2,74,1,5,0
23,70,0,13,1,4,1
11,53,1,35,2,5,1
20,93,0,20,2,5,1
5,4,2,96,1,3,1
26,83,0,7,2,0,1
18,46,1,49,1,5,1
8,17,2,80,1,0,1
5,10,2,92,0,5,1
4,28,2,92,0,5,0
17,55,1,72,1,6,1
20,74,0,4,2,2,1
29,84,0,4,1,0,1
20,50,1,28,1,2,0
18,46,1,60,1,2,0
9,11,2,83,0,2,0
29,61,0,13,1,3,1
10,27,2,80,1,1,1
15,58,1,40,2,6,1
10,40,1,47,1,0,0
15,58,1,60,2,6,0
29,83,0,21,2,5,1
26,84,0,9,2,7,0
26,68,0,17,1,6,1
26,71,0,19,2,7,0
8,21,2,95,0,5,0
2,22,2,84,1,5,1
14,45,1,70,2,2,1
10,29,2,94,0,5,0
20,32,1,72,2,2,0
1,3,2,91,0,4,1
13,40,1,65,1,6,1
17,49,1,50,2,3,1
26,75,0,8,1,7,1
29,76,0,19,2,5,0
6,15,2,94,0,0,0
1,25,2,84,1,5,1
1,25,2,87,0,5,1
29,90,0,22,2,6,0
20,38,1,48,2,3,1
21,96,0,8,1,0,0
22,84,0,12,2,6,0
24,63,0,6,1,7,0
28,92,0,23,1,7,0
26,69,0,21,1,2,1
7,3,2,81,1,2,1
29,70,0,14,2,7,1
24,65,0,9,1,7,1
10,37,1,37,1,3,1
14,37,1,47,1,2,1
13,57,1,72,1,4,0
24,69,0,14,1,7,1
4,21,2,93,0,2,1
10,27,2,84,1,2,1
1,6,2,81,0,5,0
12,37,1,72,2,6,0
23,70,0,10,1,7,0
23,94,0,1,2,7,1
11,32,1,35,2,6,0
6,29,2,79,0,2,1
11,46,1,64,2,6,0
3,4,2,81,1,2,0
1,23,2,78,0,0,0
22,90,0,9,2,7,1
14,41,1,46,2,5,1
22,92,0,1,2,2,1
10,51,1,42,2,1,1
30,73,0,3,2,4,1
10,52,1,39,2,6,0
20,66,0,7,2,6,1
9,26,2,72,1,6,1
28,69,0,8,2,1,0
7,29,2,87,0,2,0
9,10,2,91,0,5,0
30,75,0,6,2,0,1
14,55,1,57,2,0,1
9,19,2,79,0,6,1
9,8,2,93,0,0,0
24,75,0,11,2,0,0
20,58,1,61,2,1,1
28,98,0,0,2,1,0
28,88,0,8,1,6,0
8,17,2,80,1,0,0
20,58,1,61,2,1,1
16,40,1,37,2,6,0
20,62,0,6,2,7,0
20,34,1,36,2,7,0
20,96,0,9,2,3,0
20,46,1,72,2,3,0
8,15,2,72,0,6,0
8,22,2,84,1,2,0
3,16,2,74,1,5,0
24,68,0,11,1,6,0
8,14,2,87,0,6,0
19,35,1,61,1,7,1
7,13,2,79,1,6,0
7,28,2,94,1,6,0
30,73,0,16,2,8,0
10,24,2,93,0,3,0
30,68,0,17,2,0,0
6,27,2,83,0,0,0
6,18,2,96,0,5,0
30,67,0,21,1,8,0
10,29,2,81,1,2,0
29,70,0,21,1,8,0
28,94,0,14,1,7,0
27,67,0,17,1,2,0
17,38,1,24,1,7,0
4,10,2,75,0,1,0
27,85,0,23,2,0,1
25,73,0,22,2,0,1
23,79,0,9,1,0,1
22,71,0,7,1,0,1
20,33,1,48,1,0,1
20,36,1,48,2,0,1
30,74,0,19,2,1,0
18,51,1,71,1,0,0
29,93,0,5,1,1,1
15,32,1,28,1,0,1
15,59,1,28,1,0,1
15,34,1,42,2,0,1
14,42,1,47,1,0,1
10,35,1,48,2,0,1
10,53,1,43,2,0,1
9,13,2,79,1,0,1
12,45,1,53,1,0,1
18,49,1,55,1,1,1
6,23,2,76,1,0,1
6,17,2,93,1,0,1
4,3,2,81,0,0,1
2,2,2,78,0,0,0
24,68,0,22,2,2,1
24,95,0,12,2,2,1
12,37,1,56,2,1,1
22,64,0,2,2,2,1
22,80,0,14,1,2,1
25,86,0,0,1,2,1
10,11,2,77,1,1,1
30,75,0,8,2,2,1
7,17,2,88,1,1,1
7,18,2,92,0,1,0
4,25,2,88,1,1,1
27,64,0,16,1,3,1
1,29,2,77,1,1,1
12,52,1,59,1,2,1
23,60,0,4,1,3,1
23,68,0,20,1,3,1
11,57,1,65,2,2,0
20,90,0,21,2,3,1
15,56,1,45,1,1,1
8,19,2,77,1,2,1
8,24,2,84,1,2,1
19,36,1,26,2,3,0
6,11,2,79,0,2,1
17,41,1,29,1,3,1
17,37,1,45,1,3,0
21,72,0,6,2,2,1
27,90,0,23,1,4,1
11,33,1,35,2,0,0
19,51,1,69,1,3,1
7,9,2,74,0,2,1
23,98,0,5,1,1,1
15,31,1,31,2,3,1
15,30,1,57,1,3,1
3,5,2,86,0,2,1
2,26,2,84,1,2,1
30,80,0,5,2,1,1
24,75,0,19,2,4,1
20,34,1,31,2,3,1
1,2,2,87,1,1,1
11,38,1,54,2,2,1
25,85,0,6,1,3,1
23,96,0,11,1,4,1
23,93,0,18,2,4,0
21,83,0,20,2,4,1
9,19,2,86,0,3,0
20,42,1,68,2,4,1
8,27,2,84,0,3,1
30,75,0,8,2,2,1
7,4,2,85,1,3,1
16,55,1,41,2,0,1
30,76,0,0,2,5,1
18,54,1,65,1,3,1
30,69,0,19,1,5,1
18,31,1,55,2,4,1
29,67,0,20,2,5,1
20,55,1,48,2,2,1
17,42,1,25,2,4,1
5,11,2,75,0,3,1
2,21,2,79,0,0,1
15,37,1,48,1,1,1
17,50,1,45,2,4,1
28,77,0,18,1,5,1
28,96,0,22,1,5,0
26,89,0,12,2,5,1
24,97,0,17,1,0,1
30,82,0,22,1,3,1
2,26,2,72,1,3,1
26,100,0,24,2,5,1
1,23,2,78,1,0,1
13,53,1,30,1,4,1
1,14,2,74,1,3,1
1,8,2,85,1,3,0
14,47,1,61,1,1,1
8,16,2,91,1,3,1
27,81,0,12,2,0,0
24,69,0,20,2,5,1
10,35,1,51,2,4,1
22,65,0,15,2,1,1
20,54,1,32,1,1,1
10,6,2,80,0,4,0
13,57,1,57,2,2,1
10,4,2,94,1,4,1
30,60,0,9,1,4,1
3,8,2,85,0,1,1
4,20,2,84,0,3,1
21,60,0,8,1,5,0
8,5,2,91,1,4,0
19,52,1,72,2,5,1
30,80,0,2,2,6,1
17,37,1,71,1,5,1
5,30,2,75,1,4,1
5,26,2,96,0,4,1
15,46,1,51,1,5,1
3,13,2,89,0,4,1
3,24,2,89,0,4,1
25,80,0,5,2,6,1
25,76,0,15,1,6,1
27,79,0,11,1,4,1
25,77,0,24,2,6,0
13,51,1,26,2,5,0
24,95,0,12,2,2,1
13,44,1,50,1,5,1
26,76,0,15,1,0,1
12,58,1,56,2,5,1
3,9,2,92,1,2,0
8,1,2,85,0,2,1
11,48,1,59,2,5,1
13,43,1,54,1,2,0
21,78,0,7,2,6,0
20,60,1,29,1,6,1
27,96,0,21,1,5,1
29,76,0,2,1,4,1
20,49,1,42,2,6,1
24,78,0,9,1,2,1
28,87,0,19,2,5,1
7,17,2,87,1,4,1
20,54,1,72,2,6,0
15,35,1,62,1,4,0
30,69,0,19,1,5,1
20,46,1,32,1,4,1
8,29,2,78,1,5,1
25,76,0,14,1,4,0
19,49,1,34,2,6,1
19,55,1,40,1,6,1
7,7,2,76,0,5,0
7,5,2,91,1,5,1
18,49,1,55,1,1,1
11,59,1,69,1,0,0
2,10,2,78,0,2,1
3,8,2,85,0,0,1
30,65,0,21,1,7,0
23,68,0,20,1,3,1
6,8,2,87,0,2,1
18,42,1,36,1,6,0
24,85,0,24,2,4,0
6,11,2,88,0,5,0
20,96,0,7,1,0,1
6,18,2,95,0,5,1
29,72,0,20,1,1,1
11,45,1,31,1,0,1
24,64,0,14,1,2,0
24,90,0,19,2,4,0
21,79,0,16,1,4,1
30,72,0,23,1,6,1
29,77,0,18,2,7,1
5,14,2,95,1,5,1
4,28,2,82,0,0,1
20,77,0,21,1,4,1
19,32,1,28,1,2,1
28,98,0,9,1,7,1
6,18,2,84,0,2,1
27,93,0,21,1,7,0
21,81,0,7,1,4,0
27,100,0,24,2,7,1
27,87,0,1,1,0,1
6,13,2,91,0,0,0
7,15,2,73,0,4,1
20,51,1,26,2,2,1
3,19,2,90,0,5,0
24,99,0,4,2,4,1
13,33,1,60,1,6,1
10,56,1,48,2,2,0
17,60,1,36,2,2,1
13,53,1,58,2,6,0
14,42,1,55,1,6,1
24,98,0,18,2,7,0
23,62,0,13,1,7,1
7,25,2,76,1,4,0
